,track_id,track_name,album,artist,artist_id,release_date,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
67,1zHSvq6WdZHdG85ugbGsVj,Greatest Love of All - Live from That's What Friends Are For: Arista Records 15th Anniversary Concert,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,1zHSvq6WdZHdG85ugbGsVj,0.321,0.604,-6.718,0.0554,0.643,0,0.977,0.267,112.01
68,3KCm9TwZDOLdRu4bM1Alob,I Wanna Dance with Somebody - Live from That's What Friends Are For: Arista Records 15th Anniversary Concert,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,3KCm9TwZDOLdRu4bM1Alob,0.569,0.954,-3.599,0.124,0.0689,0,0.981,0.527,128.457
69,5qByPJHfbssZpbUzhgpDCG,The Star Spangled Banner (feat. The Florida Orchestra) - Live from Super Bowl XXV,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,5qByPJHfbssZpbUzhgpDCG,0.179,0.641,-6.93,0.0439,0.636,0.0303,0.94,0.495,85.378
70,5gUXJ028FkqhUAKk7bMWY4,All the Man That I Need - Live from Welcome Home Heroes with Whitney Houston,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,5gUXJ028FkqhUAKk7bMWY4,0.39,0.779,-6.831,0.0469,0.542,0,0.962,0.459,140.791
71,5yFt7dkjC3AGuKOBaosed4,I'm Your Baby Tonight - Live from Welcome Home Heroes with Whitney Houston,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,5yFt7dkjC3AGuKOBaosed4,0.341,0.88,-9.15,0.147,0.0751,2.25e-06,0.991,0.669,169.244
72,2kS0pmnzDAeZDME3svB8fN,A Song for You - Live from Welcome Home Heroes with Whitney Houston,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,2kS0pmnzDAeZDME3svB8fN,0.3,0.378,-10.383,0.0459,0.912,0.000522,0.751,0.157,71.09
73,0pXeX74NdIKgUvylLqlGBN,"Medley: I Loves You, Porgy / And I Am Telling You I'm Not Going / I Have Nothing - Live from The 21st Annual American Music Awards",Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,0pXeX74NdIKgUvylLqlGBN,0.221,0.656,-7.328,0.0553,0.448,0,0.947,0.357,77.653
74,0onkIMPgaJDynd4x2tSpjS,I'm Every Woman - Live from The Concert for a New South Africa,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,0onkIMPgaJDynd4x2tSpjS,0.422,0.932,-5.643,0.131,0.00379,0,0.914,0.446,119.254
75,2be59uHmn17ejuv4bXF5oo,I Will Always Love You - Live from The Concert for a New South Africa,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,2be59uHmn17ejuv4bXF5oo,0.238,0.585,-7.764,0.0509,0.525,8.2e-05,0.689,0.198,131.427
76,1Tmn4RzLBoZRryh3NJPlLd,My Love Is Your Love - Live from Late Show with David Letterman,Whitney Houston Live: Her Greatest Performances,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2014-11-10,1Tmn4RzLBoZRryh3NJPlLd,0.591,0.736,-6.916,0.119,0.446,0,0.982,0.561,81.91
